row_index,cluster_index,cluster_representative
0,2,the drowned and the saved
1,2,the drowned and the saved
2,2,the drowned and the saved
3,2,the drowned and the saved
4,2,the drowned and the saved
5,1,the drowned and the saved
6,2,the drowned and the saved
7,2,the drowned and the saved
8,2,the drowned and the saved
9,2,the drowned and the saved
10,2,the drowned and the saved
11,2,the drowned and the saved
12,2,the drowned and the saved
13,2,the drowned and the saved
14,1,the drowned and the saved
15,2,the drowned and the saved
16,2,the drowned and the saved
17,2,the drowned and the saved
18,2,the drowned and the saved
19,2,the drowned and the saved
20,2,the drowned and the saved
21,2,the drowned and the saved
22,2,the drowned and the saved
23,2,the drowned and the saved
24,1,the drowned and the saved
25,2,the drowned and the saved
26,2,the drowned and the saved
27,2,the drowned and the saved
28,2,the drowned and the saved
29,2,the drowned and the saved
30,2,the drowned and the saved
31,2,the drowned and the saved
32,2,the drowned and the saved
33,2,the drowned and the saved
34,2,the drowned and the saved
35,2,the drowned and the saved
36,2,the drowned and the saved
37,2,the drowned and the saved
38,2,the drowned and the saved
39,2,the drowned and the saved
40,2,the drowned and the saved
41,2,the drowned and the saved
42,2,the drowned and the saved
43,2,the drowned and the saved
44,2,the drowned and the saved
45,2,the drowned and the saved
46,2,the drowned and the saved
47,2,the drowned and the saved
48,2,the drowned and the saved
49,2,the drowned and the saved
50,2,the drowned and the saved
51,2,the drowned and the saved
52,2,the drowned and the saved
53,2,the drowned and the saved
54,2,the drowned and the saved
55,2,the drowned and the saved
56,2,the drowned and the saved
57,2,the drowned and the saved
58,2,the drowned and the saved
59,2,the drowned and the saved
60,1,the drowned and the saved
61,1,the drowned and the saved
62,1,the drowned and the saved
63,1,the drowned and the saved
64,1,the drowned and the saved
65,1,the drowned and the saved
66,1,the drowned and the saved
67,1,the drowned and the saved
68,1,the drowned and the saved
69,1,the drowned and the saved
70,1,the drowned and the saved
71,1,the drowned and the saved
72,1,the drowned and the saved
73,1,the drowned and the saved
74,1,the drowned and the saved
75,1,the drowned and the saved
76,1,the drowned and the saved
77,1,the drowned and the saved
78,1,the drowned and the saved
79,1,the drowned and the saved
80,1,the drowned and the saved
81,1,the drowned and the saved
82,2,the drowned and the saved
83,2,the drowned and the saved
84,2,the drowned and the saved
85,2,the drowned and the saved
86,2,the drowned and the saved
87,2,the drowned and the saved
88,1,the drowned and the saved
89,1,the drowned and the saved
90,1,the drowned and the saved
91,1,the drowned and the saved
92,1,the drowned and the saved
93,1,the drowned and the saved
94,1,the drowned and the saved
95,1,the drowned and the saved
96,1,the drowned and the saved
97,2,the drowned and the saved
98,2,the drowned and the saved
99,2,the drowned and the saved
100,2,the drowned and the saved
101,1,the drowned and the saved
102,1,the drowned and the saved
103,2,the drowned and the saved
104,2,the drowned and the saved
105,2,the drowned and the saved
106,2,the drowned and the saved
107,2,the drowned and the saved
108,2,the drowned and the saved
109,2,the drowned and the saved
110,2,the drowned and the saved
111,2,the drowned and the saved
112,2,the drowned and the saved
113,2,the drowned and the saved
114,2,the drowned and the saved
115,2,the drowned and the saved
116,2,the drowned and the saved
117,2,the drowned and the saved
118,2,the drowned and the saved
119,2,the drowned and the saved
120,2,the drowned and the saved
121,2,the drowned and the saved
122,2,the drowned and the saved
123,2,the drowned and the saved
124,2,the drowned and the saved
125,2,the drowned and the saved
126,2,the drowned and the saved
127,2,the drowned and the saved
128,2,the drowned and the saved
129,2,the drowned and the saved
130,2,the drowned and the saved
131,2,the drowned and the saved
132,2,the drowned and the saved
133,2,the drowned and the saved
134,2,the drowned and the saved
135,2,the drowned and the saved
136,2,the drowned and the saved
137,2,the drowned and the saved
138,2,the drowned and the saved
139,2,the drowned and the saved
140,2,the drowned and the saved
141,2,the drowned and the saved
142,2,the drowned and the saved
143,2,the drowned and the saved
144,2,the drowned and the saved
145,2,the drowned and the saved
146,2,the drowned and the saved
147,2,the drowned and the saved
148,2,the drowned and the saved
149,2,the drowned and the saved
150,2,the drowned and the saved
151,2,the drowned and the saved
152,2,the drowned and the saved
