row_index,cluster_index,cluster_representative
0,2,it has a halo around it and a glow around it
1,2,it has a halo around it and a glow around it
2,1,black knee - length skirt
3,2,it has a halo around it and a glow around it
4,1,black knee - length skirt
5,2,it has a halo around it and a glow around it
6,1,black knee - length skirt
7,2,it has a halo around it and a glow around it
8,1,black knee - length skirt
9,2,it has a halo around it and a glow around it
10,1,black knee - length skirt
11,2,it has a halo around it and a glow around it
12,2,it has a halo around it and a glow around it
13,2,it has a halo around it and a glow around it
14,2,it has a halo around it and a glow around it
15,2,it has a halo around it and a glow around it
16,2,it has a halo around it and a glow around it
17,2,it has a halo around it and a glow around it
18,2,it has a halo around it and a glow around it
19,2,it has a halo around it and a glow around it
20,2,it has a halo around it and a glow around it
21,2,it has a halo around it and a glow around it
22,2,it has a halo around it and a glow around it
23,2,it has a halo around it and a glow around it
24,2,it has a halo around it and a glow around it
25,2,it has a halo around it and a glow around it
26,2,it has a halo around it and a glow around it
27,2,it has a halo around it and a glow around it
28,2,it has a halo around it and a glow around it
29,2,it has a halo around it and a glow around it
30,2,it has a halo around it and a glow around it
31,2,it has a halo around it and a glow around it
32,2,it has a halo around it and a glow around it
33,2,it has a halo around it and a glow around it
34,2,it has a halo around it and a glow around it
35,2,it has a halo around it and a glow around it
36,2,it has a halo around it and a glow around it
37,2,it has a halo around it and a glow around it
38,2,it has a halo around it and a glow around it
39,2,it has a halo around it and a glow around it
40,2,it has a halo around it and a glow around it
41,2,it has a halo around it and a glow around it
42,2,it has a halo around it and a glow around it
43,2,it has a halo around it and a glow around it
44,2,it has a halo around it and a glow around it
45,2,it has a halo around it and a glow around it
46,2,it has a halo around it and a glow around it
47,2,it has a halo around it and a glow around it
48,2,it has a halo around it and a glow around it
49,2,it has a halo around it and a glow around it
50,2,it has a halo around it and a glow around it
51,2,it has a halo around it and a glow around it
52,2,it has a halo around it and a glow around it
53,2,it has a halo around it and a glow around it
54,2,it has a halo around it and a glow around it
55,2,it has a halo around it and a glow around it
56,2,it has a halo around it and a glow around it
57,2,it has a halo around it and a glow around it
58,2,it has a halo around it and a glow around it
59,2,it has a halo around it and a glow around it
60,2,it has a halo around it and a glow around it
61,2,it has a halo around it and a glow around it
62,2,it has a halo around it and a glow around it
63,2,it has a halo around it and a glow around it
64,2,it has a halo around it and a glow around it
65,2,it has a halo around it and a glow around it
66,2,it has a halo around it and a glow around it
67,2,it has a halo around it and a glow around it
68,2,it has a halo around it and a glow around it
69,2,it has a halo around it and a glow around it
70,2,it has a halo around it and a glow around it
71,2,it has a halo around it and a glow around it
72,2,it has a halo around it and a glow around it
73,2,it has a halo around it and a glow around it
74,2,it has a halo around it and a glow around it
75,2,it has a halo around it and a glow around it
76,2,it has a halo around it and a glow around it
77,2,it has a halo around it and a glow around it
78,2,it has a halo around it and a glow around it
